elapsed_s,process_cpu_pct_one_core,gui_thread_cpu_pct,io_thread_cpu_pct,plot_render_avg_ms,plot_render_max_ms,speed_points_m0,speed_points_m1,current_points_m0,current_points_m1,rx_total,rx_queue
1.0030784999980824,17.134754086554313,12.461639335675862,4.673114750878449,1.9985500002803747,2.2828999935882166,969,969,19,19,2051,0
2.0150014999962877,18.529077805359947,13.89680835401996,4.632269451339987,2.8839666629210114,3.143499998259358,1934,1933,38,37,4092,35
3.015242199995555,23.431859951326885,20.307611957816636,3.1242479935102514,3.97316666203551,4.278399996110238,2898,2898,56,56,6133,46
4.017746600002283,37.40631961290975,34.28912631183394,3.1171933010758126,5.026733332973284,5.323100005625747,3851,3850,75,75,8151,69
5.100241399995866,59.18042285319039,57.736997905551604,1.44342494763879,6.02084999991348,6.280400004470721,4928,4928,96,96,10432,0
6.102387100007036,71.72110801772527,68.60279897347635,3.118309044248925,7.409099998767488,8.09839999419637,5891,5891,115,115,12472,12
7.3550896999950055,101.03156168209073,98.53695522080454,2.494606461286191,8.557650002330774,9.099599992623553,7096,7096,139,139,15026,23
8.79883630000404,100.64958767632118,97.40282678353663,3.246760892784554,10.480299999471754,11.087999999290332,8434,8434,165,165,17858,23
10.16992850000679,102.56421851113879,100.2850136553357,2.2792048558030844,11.993150001217145,12.078300002031028,9250,9251,181,181,19870,35
11.593156799994176,103.19848193104491,99.9049133587775,3.2935685722673904,11.493749996589031,11.87000000209082,8822,8821,173,173,21881,35
12.817568700003903,103.36595062412783,99.53758208249347,3.8283685416343647,11.033449998649303,11.160099995322526,8633,8632,168,168,23891,35
13.950474199999007,104.81898093045994,99.30219246043573,5.516788470024208,11.279300000751391,11.382800003048033,8444,8443,165,165,25899,35
15.06267270000535,98.34125832697687,96.93638320802008,1.4048751189568127,11.036100004275795,11.250300012761727,8408,8407,164,164,27909,23
