elapsed_s,process_cpu_pct_one_core,gui_thread_cpu_pct,io_thread_cpu_pct,plot_update_avg_ms,plot_update_max_ms,speed_points_m0,speed_points_m1,current_points_m0,current_points_m1,rx_total,rx_queue
1.0068452999985311,27.933790411338915,17.070649695818226,1.551877245074384,0.8205750018532854,1.1665000056382269,960,958,18,19,2029,35
2.0126877000002423,9.320545644112885,3.1068485480376284,4.660272822056442,1.4514999966195319,1.8026999896392226,1949,1947,38,39,4127,0
3.0311380000057397,24.54709866535957,12.273549332679785,7.670968332924866,2.5687000015750527,3.0913000082364306,2913,2912,57,58,6169,35
4.017580800005817,28.511536604046178,15.839742557803433,1.5839742557803431,3.14362499921117,3.5961999965365976,3868,3866,75,76,8187,46
5.020850100001553,7.787041824197353,3.1148167296789415,4.672225094518413,3.0665499980386812,3.6069000052521005,4837,4835,94,95,10239,47
6.0248218000051565,4.668956306221754,1.5563187687405848,3.1126375374811697,3.8384750041586813,4.631400006473996,5795,5793,113,114,12269,69
7.025607799994759,3.1225456791286708,1.5612728395643354,1.5612728395643354,3.877624996675877,4.6818999981042,6795,6794,133,134,14390,0
8.027427599998191,12.47729382066234,6.23864691033117,4.678985182748377,4.852050005865749,5.397700006142259,7745,7743,151,152,16397,46
9.026092400003108,10.952123274942851,6.2583561571101995,3.1291780785550998,4.778550002811244,5.424400005722418,8697,8695,170,171,18415,69
10.026973600004567,7.805621686158772,6.244497348927017,1.5611243372317543,5.9014500002376735,6.919200008269399,9677,9676,189,190,20490,47
11.016614899999695,23.682823261433594,14.209693956860155,4.736564652286718,5.179074996704003,6.44060000195168,9887,9887,194,194,22555,0
12.022706500007189,29.507750586307317,17.083434549967397,4.6591185136274715,5.341400003089802,6.263800009037368,9887,9887,194,194,24607,0
13.024561700003687,9.357639706848621,4.678819853424311,3.119213235616207,6.458424999436829,7.6323999965097755,9858,9858,194,194,26602,58
14.020953500003088,14.113424056689801,3.1363164570421787,9.408949371126536,6.832600003690459,8.358999999472871,9869,9869,194,194,28677,23
15.020296000002418,4.690584059021952,1.563528019673984,1.563528019673984,6.587550000404008,8.56279999425169,9863,9864,194,194,30718,35
